query_source,n,accuracy,accuracy_percent
POVID_preference_data_for_VLLMs,448,0.8526785714285714,85.26785714285714
(empty),317,0.5930599369085173,59.305993690851736
wildvision-battle,171,0.6783625730994152,67.83625730994152
COCO,63,0.8253968253968254,82.53968253968253
LCS-558K,41,0.7804878048780488,78.04878048780488
coco,40,0.675,67.5
VQAv2,35,0.7714285714285715,77.14285714285715
OK-VQA,32,0.9375,93.75
GQA,26,0.8076923076923077,80.76923076923077
vqav2,24,0.5416666666666666,54.166666666666664
TextVQA,14,0.7857142857142857,78.57142857142857
sharegpt4v-web-celebrity,7,1.0,100.0
sharegpt4v-web-landmark,5,0.8,80.0
Google-Landmark,4,0.5,50.0
OCR-VQA,4,1.0,100.0
sharegpt4v-textvqa,3,0.6666666666666666,66.66666666666666
MovieNet,2,1.0,100.0
jailbreak-typo-Illegal_Activitiy,2,1.0,100.0
LRVInstruction,1,1.0,100.0
jailbreak-Fraud,1,1.0,100.0
jailbreak-typo-EconomicHarm,1,1.0,100.0
jailbreak-typo-HateSpeech,1,1.0,100.0
jailbreak-typo-Malware_Generation,1,1.0,100.0
jailbreak-typo-Physical_Harm,1,1.0,100.0
politics-Gov_Decision,1,1.0,100.0
sharegpt4v-wikiart,1,1.0,100.0
svit-complex_reasoning,1,1.0,100.0
