query_source,n,accuracy,accuracy_percent
POVID_preference_data_for_VLLMs,448,0.671875,67.1875
(empty),317,0.19873817034700317,19.873817034700316
wildvision-battle,171,0.4502923976608187,45.02923976608187
COCO,63,0.47619047619047616,47.61904761904761
LCS-558K,41,0.36585365853658536,36.58536585365854
coco,40,0.575,57.49999999999999
VQAv2,35,0.4,40.0
OK-VQA,32,0.5,50.0
GQA,26,0.34615384615384615,34.61538461538461
vqav2,24,0.5416666666666666,54.166666666666664
TextVQA,14,0.35714285714285715,35.714285714285715
sharegpt4v-web-celebrity,7,0.5714285714285714,57.14285714285714
sharegpt4v-web-landmark,5,0.6,60.0
Google-Landmark,4,0.25,25.0
OCR-VQA,4,0.25,25.0
sharegpt4v-textvqa,3,0.3333333333333333,33.33333333333333
MovieNet,2,0.5,50.0
jailbreak-typo-Illegal_Activitiy,2,0.0,0.0
LRVInstruction,1,0.0,0.0
jailbreak-Fraud,1,1.0,100.0
jailbreak-typo-EconomicHarm,1,1.0,100.0
jailbreak-typo-HateSpeech,1,0.0,0.0
jailbreak-typo-Malware_Generation,1,0.0,0.0
jailbreak-typo-Physical_Harm,1,0.0,0.0
politics-Gov_Decision,1,1.0,100.0
sharegpt4v-wikiart,1,0.0,0.0
svit-complex_reasoning,1,0.0,0.0
