query_source,n,accuracy,accuracy_percent
POVID_preference_data_for_VLLMs,448,0.3794642857142857,37.94642857142857
(empty),317,0.47003154574132494,47.003154574132495
wildvision-battle,171,0.5730994152046783,57.30994152046783
COCO,63,0.5873015873015873,58.730158730158735
LCS-558K,41,0.5365853658536586,53.65853658536586
coco,40,0.5,50.0
VQAv2,35,0.6,60.0
OK-VQA,32,0.59375,59.375
GQA,26,0.4230769230769231,42.30769230769231
vqav2,24,0.5833333333333334,58.333333333333336
TextVQA,14,0.6428571428571429,64.28571428571429
sharegpt4v-web-celebrity,7,0.5714285714285714,57.14285714285714
sharegpt4v-web-landmark,5,1,100
Google-Landmark,4,0.75,75.0
OCR-VQA,4,0.5,50.0
sharegpt4v-textvqa,3,0.6666666666666666,66.66666666666666
MovieNet,2,1,100
jailbreak-typo-Illegal_Activitiy,2,0.5,50.0
LRVInstruction,1,1,100
jailbreak-Fraud,1,1,100
jailbreak-typo-EconomicHarm,1,1,100
jailbreak-typo-HateSpeech,1,1,100
jailbreak-typo-Malware_Generation,1,0,0
jailbreak-typo-Physical_Harm,1,1,100
politics-Gov_Decision,1,1,100
sharegpt4v-wikiart,1,0,0
svit-complex_reasoning,1,1,100
