query_source,n,accuracy,accuracy_percent
POVID_preference_data_for_VLLMs,448,0.6607142857142857,66.07142857142857
(empty),317,0.5520504731861199,55.20504731861199
wildvision-battle,171,0.5555555555555556,55.55555555555556
COCO,63,0.6984126984126984,69.84126984126983
LCS-558K,41,0.6585365853658537,65.85365853658537
coco,40,0.525,52.5
VQAv2,35,0.4857142857142857,48.57142857142857
OK-VQA,32,0.46875,46.875
GQA,26,0.7307692307692307,73.07692307692307
vqav2,24,0.4583333333333333,45.83333333333333
TextVQA,14,0.5714285714285714,57.14285714285714
sharegpt4v-web-celebrity,7,0.5714285714285714,57.14285714285714
sharegpt4v-web-landmark,5,0.8,80.0
Google-Landmark,4,0.75,75.0
OCR-VQA,4,0.75,75.0
sharegpt4v-textvqa,3,1.0,100.0
MovieNet,2,0.0,0.0
jailbreak-typo-Illegal_Activitiy,2,1.0,100.0
LRVInstruction,1,0.0,0.0
jailbreak-Fraud,1,0.0,0.0
jailbreak-typo-EconomicHarm,1,0.0,0.0
jailbreak-typo-HateSpeech,1,0.0,0.0
jailbreak-typo-Malware_Generation,1,0.0,0.0
jailbreak-typo-Physical_Harm,1,0.0,0.0
politics-Gov_Decision,1,1.0,100.0
sharegpt4v-wikiart,1,1.0,100.0
svit-complex_reasoning,1,1.0,100.0
