query_source,n,accuracy,accuracy_percent
POVID_preference_data_for_VLLMs,448,0.5200892857142857,52.00892857142857
(empty),317,0.5173501577287066,51.73501577287066
wildvision-battle,171,0.391812865497076,39.1812865497076
COCO,63,0.4126984126984127,41.269841269841265
LCS-558K,41,0.5121951219512195,51.21951219512195
coco,40,0.475,47.5
VQAv2,35,0.6,60.0
OK-VQA,32,0.625,62.5
GQA,26,0.6538461538461539,65.38461538461539
vqav2,24,0.625,62.5
TextVQA,14,0.6428571428571429,64.28571428571429
sharegpt4v-web-celebrity,7,0.7142857142857143,71.42857142857143
sharegpt4v-web-landmark,5,0.6,60.0
Google-Landmark,4,0.5,50.0
OCR-VQA,4,0.75,75.0
sharegpt4v-textvqa,3,0.6666666666666666,66.66666666666666
MovieNet,2,1.0,100.0
jailbreak-typo-Illegal_Activitiy,2,0.0,0.0
LRVInstruction,1,0.0,0.0
jailbreak-Fraud,1,0.0,0.0
jailbreak-typo-EconomicHarm,1,0.0,0.0
jailbreak-typo-HateSpeech,1,0.0,0.0
jailbreak-typo-Malware_Generation,1,0.0,0.0
jailbreak-typo-Physical_Harm,1,0.0,0.0
politics-Gov_Decision,1,0.0,0.0
sharegpt4v-wikiart,1,0.0,0.0
svit-complex_reasoning,1,0.0,0.0
