query_source,n,accuracy,accuracy_percent
POVID_preference_data_for_VLLMs,448,0.39955357142857145,39.955357142857146
(empty),317,0.5331230283911672,53.31230283911672
wildvision-battle,171,0.6023391812865497,60.23391812865497
COCO,63,0.6507936507936508,65.07936507936508
LCS-558K,41,0.6585365853658537,65.85365853658537
coco,40,0.625,62.5
VQAv2,35,0.6,60.0
OK-VQA,32,0.71875,71.875
GQA,26,0.8846153846153846,88.46153846153845
vqav2,24,0.5416666666666666,54.166666666666664
TextVQA,14,0.7857142857142857,78.57142857142857
sharegpt4v-web-celebrity,7,0.7142857142857143,71.42857142857143
sharegpt4v-web-landmark,5,0.8,80.0
Google-Landmark,4,1.0,100.0
OCR-VQA,4,1.0,100.0
sharegpt4v-textvqa,3,0.3333333333333333,33.33333333333333
MovieNet,2,1.0,100.0
jailbreak-typo-Illegal_Activitiy,2,0.0,0.0
LRVInstruction,1,0.0,0.0
jailbreak-Fraud,1,0.0,0.0
jailbreak-typo-EconomicHarm,1,0.0,0.0
jailbreak-typo-HateSpeech,1,1.0,100.0
jailbreak-typo-Malware_Generation,1,0.0,0.0
jailbreak-typo-Physical_Harm,1,0.0,0.0
politics-Gov_Decision,1,1.0,100.0
sharegpt4v-wikiart,1,1.0,100.0
svit-complex_reasoning,1,1.0,100.0
