query_source,n,accuracy,accuracy_percent
POVID_preference_data_for_VLLMs,448,0.5602678571428571,56.02678571428571
(empty),317,0.6214511041009464,62.14511041009464
wildvision-battle,171,0.6198830409356725,61.98830409356725
COCO,63,0.6984126984126984,69.84126984126983
LCS-558K,41,0.6341463414634146,63.41463414634146
coco,40,0.625,62.5
VQAv2,35,0.6571428571428571,65.71428571428571
OK-VQA,32,0.90625,90.625
GQA,26,0.5384615384615384,53.84615384615385
vqav2,24,0.5416666666666666,54.166666666666664
TextVQA,14,0.5714285714285714,57.14285714285714
sharegpt4v-web-celebrity,7,0.5714285714285714,57.14285714285714
sharegpt4v-web-landmark,5,0.8,80.0
Google-Landmark,4,0.5,50.0
OCR-VQA,4,1.0,100.0
sharegpt4v-textvqa,3,0.3333333333333333,33.33333333333333
MovieNet,2,1.0,100.0
jailbreak-typo-Illegal_Activitiy,2,0.0,0.0
LRVInstruction,1,1.0,100.0
jailbreak-Fraud,1,0.0,0.0
jailbreak-typo-EconomicHarm,1,0.0,0.0
jailbreak-typo-HateSpeech,1,0.0,0.0
jailbreak-typo-Malware_Generation,1,0.0,0.0
jailbreak-typo-Physical_Harm,1,0.0,0.0
politics-Gov_Decision,1,1.0,100.0
sharegpt4v-wikiart,1,1.0,100.0
svit-complex_reasoning,1,0.0,0.0
