query_source,n,accuracy,accuracy_percent
POVID_preference_data_for_VLLMs,448,0.6138392857142857,61.38392857142857
(empty),317,0.5772870662460567,57.72870662460568
wildvision-battle,171,0.5146198830409356,51.461988304093566
COCO,63,0.746031746031746,74.60317460317461
LCS-558K,41,0.7073170731707317,70.73170731707317
coco,40,0.65,65.0
VQAv2,35,0.7428571428571429,74.28571428571429
OK-VQA,32,0.625,62.5
GQA,26,0.8461538461538461,84.61538461538461
vqav2,24,0.4583333333333333,45.83333333333333
TextVQA,14,0.6428571428571429,64.28571428571429
sharegpt4v-web-celebrity,7,0.7142857142857143,71.42857142857143
sharegpt4v-web-landmark,5,1.0,100.0
Google-Landmark,4,1.0,100.0
OCR-VQA,4,1.0,100.0
sharegpt4v-textvqa,3,0.6666666666666666,66.66666666666666
MovieNet,2,1.0,100.0
jailbreak-typo-Illegal_Activitiy,2,0.0,0.0
LRVInstruction,1,0.0,0.0
jailbreak-Fraud,1,0.0,0.0
jailbreak-typo-EconomicHarm,1,1.0,100.0
jailbreak-typo-HateSpeech,1,0.0,0.0
jailbreak-typo-Malware_Generation,1,0.0,0.0
jailbreak-typo-Physical_Harm,1,0.0,0.0
politics-Gov_Decision,1,1.0,100.0
sharegpt4v-wikiart,1,1.0,100.0
svit-complex_reasoning,1,0.0,0.0
