train_idx,bench_id,bench_query_source,query
3,RLAIF-V-12608,COCO,Detail the image's components with particular focus on each entity.
3,RLAIF-V-13292,LCS-558K,Detail the image's components with particular focus on each entity.
3,RLAIF-V-1987,COCO,Detail the image's components with particular focus on each entity.
3,RLAIF-V-2163,COCO,Detail the image's components with particular focus on each entity.
3,RLAIF-V-3533,COCO,Detail the image's components with particular focus on each entity.
3,RLAIF-V-42319,LCS-558K,Detail the image's components with particular focus on each entity.
3,RLAIF-V-4904,LCS-558K,Detail the image's components with particular focus on each entity.
3,RLAIF-V-53980,COCO,Detail the image's components with particular focus on each entity.
3,RLAIF-V-60191,COCO,Detail the image's components with particular focus on each entity.
3,RLAIF-V-71738,LCS-558K,Detail the image's components with particular focus on each entity.
3,RLAIF-V-78397,COCO,Detail the image's components with particular focus on each entity.
3,RLAIF-V-82325,COCO,Detail the image's components with particular focus on each entity.
3,RLHF-V-3808,coco,Detail the image's components with particular focus on each entity.
8,RLHF-V-169,sharegpt4v-textvqa,Create a thorough description describing the given image. Include the text contents and the information they convey in the description.
11,RLAIF-V-16742,LCS-558K,What are the key features you observe in the image?
11,RLAIF-V-42889,COCO,What are the key features you observe in the image?
11,RLAIF-V-43117,LCS-558K,What are the key features you observe in the image?
11,RLAIF-V-64074,LCS-558K,What are the key features you observe in the image?
11,RLAIF-V-68603,COCO,What are the key features you observe in the image?
11,RLHF-V-3862,coco,What are the key features you observe in the image?
12,RLAIF-V-1872,COCO,Explain the elements of the image with thorough attention to detail.
12,RLAIF-V-21465,COCO,Explain the elements of the image with thorough attention to detail.
12,RLAIF-V-25866,COCO,Explain the elements of the image with thorough attention to detail.
12,RLAIF-V-70363,LCS-558K,Explain the elements of the image with thorough attention to detail.
12,RLHF-V-4161,coco,Explain the elements of the image with thorough attention to detail.
13,RLAIF-V-41506,sharegpt4v-wikiart,"Give a comprehensive description of this artwork, from its visual elements to its conceptual meaning."
14,RLAIF-V-1872,COCO,Explain the elements of the image with thorough attention to detail.
14,RLAIF-V-21465,COCO,Explain the elements of the image with thorough attention to detail.
14,RLAIF-V-25866,COCO,Explain the elements of the image with thorough attention to detail.
14,RLAIF-V-70363,LCS-558K,Explain the elements of the image with thorough attention to detail.
14,RLHF-V-4161,coco,Explain the elements of the image with thorough attention to detail.
15,RLAIF-V-16742,LCS-558K,What are the key features you observe in the image?
15,RLAIF-V-42889,COCO,What are the key features you observe in the image?
15,RLAIF-V-43117,LCS-558K,What are the key features you observe in the image?
15,RLAIF-V-64074,LCS-558K,What are the key features you observe in the image?
15,RLAIF-V-68603,COCO,What are the key features you observe in the image?
15,RLHF-V-3862,coco,What are the key features you observe in the image?
16,RLAIF-V-3983,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
16,RLAIF-V-44447,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
16,RLAIF-V-75270,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
16,RLAIF-V-75438,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
16,RLAIF-V-76386,LCS-558K,"Tell me what catches your eye in the image, and describe those elements in depth."
16,RLAIF-V-79331,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
16,RLAIF-V-8914,COCO,"Tell me what catches your eye in the image, and describe those elements in depth."
16,RLAIF-V-9371,LCS-558K,"Tell me what catches your eye in the image, and describe those elements in depth."
16,RLHF-V-4271,coco,"Tell me what catches your eye in the image, and describe those elements in depth."
17,RLAIF-V-2735,sharegpt4v-web-celebrity,"Provide a detailed narrative of the image, emphasizing the visible celebrities and the scene."
19,RLAIF-V-39736,COCO,Explain the image's various components in depth.
19,RLHF-V-3957,coco,Explain the image's various components in depth.
21,RLAIF-V-35665,TextVQA,"Detail the texts and other components in the image in depth, explaining their relevance to the overall picture."
22,RLAIF-V-12608,COCO,Detail the image's components with particular focus on each entity.
22,RLAIF-V-13292,LCS-558K,Detail the image's components with particular focus on each entity.
22,RLAIF-V-1987,COCO,Detail the image's components with particular focus on each entity.
22,RLAIF-V-2163,COCO,Detail the image's components with particular focus on each entity.
22,RLAIF-V-3533,COCO,Detail the image's components with particular focus on each entity.
22,RLAIF-V-42319,LCS-558K,Detail the image's components with particular focus on each entity.
22,RLAIF-V-4904,LCS-558K,Detail the image's components with particular focus on each entity.
22,RLAIF-V-53980,COCO,Detail the image's components with particular focus on each entity.
22,RLAIF-V-60191,COCO,Detail the image's components with particular focus on each entity.
22,RLAIF-V-71738,LCS-558K,Detail the image's components with particular focus on each entity.
22,RLAIF-V-78397,COCO,Detail the image's components with particular focus on each entity.
22,RLAIF-V-82325,COCO,Detail the image's components with particular focus on each entity.
22,RLHF-V-3808,coco,Detail the image's components with particular focus on each entity.
23,RLAIF-V-5046,LCS-558K,Can you point out the details that make this image unique?
23,RLAIF-V-63127,COCO,Can you point out the details that make this image unique?
23,RLAIF-V-68611,COCO,Can you point out the details that make this image unique?
23,RLAIF-V-70860,COCO,Can you point out the details that make this image unique?
23,RLAIF-V-71010,COCO,Can you point out the details that make this image unique?
