query_source,n,accuracy,accuracy_percent
POVID_preference_data_for_VLLMs,448,0.6339285714285714,63.39285714285714
(empty),317,0.526813880126183,52.6813880126183
wildvision-battle,171,0.6432748538011696,64.32748538011695
COCO,63,0.7301587301587301,73.01587301587301
LCS-558K,41,0.8048780487804879,80.48780487804879
coco,40,0.5,50.0
VQAv2,35,0.5428571428571428,54.285714285714285
OK-VQA,32,0.6875,68.75
GQA,26,0.46153846153846156,46.15384615384615
vqav2,24,0.5416666666666666,54.166666666666664
TextVQA,14,0.7857142857142857,78.57142857142857
sharegpt4v-web-celebrity,7,0.7142857142857143,71.42857142857143
sharegpt4v-web-landmark,5,1.0,100.0
Google-Landmark,4,0.75,75.0
OCR-VQA,4,0.5,50.0
sharegpt4v-textvqa,3,0.3333333333333333,33.33333333333333
MovieNet,2,1.0,100.0
jailbreak-typo-Illegal_Activitiy,2,1.0,100.0
LRVInstruction,1,1.0,100.0
jailbreak-Fraud,1,1.0,100.0
jailbreak-typo-EconomicHarm,1,1.0,100.0
jailbreak-typo-HateSpeech,1,1.0,100.0
jailbreak-typo-Malware_Generation,1,1.0,100.0
jailbreak-typo-Physical_Harm,1,1.0,100.0
politics-Gov_Decision,1,0.0,0.0
sharegpt4v-wikiart,1,0.0,0.0
svit-complex_reasoning,1,1.0,100.0
